text,label
Rząd ogłasza obniżkę podatków dla małych firm, premier potwierdza plan,REAL
Nowe badania dowodzą, że jedzenie czekolady powoduje długowieczność,FAKE
Naukowcy odkryli sygnały radiowe z poza Drogi Mlecznej,REAL
Szczepionka X powoduje bezpłodność — dowody wyciekły,FAKE
Polska wygrała umowę na dostawę zielonej energii z Norwegią,REAL
Znany aktor zdradził, że jego film był kompletną inscenizacją,FAKE
Bank centralny obniża stopy procentowe o 0.5%,REAL
Ratusz planuje wprowadzić całkowity zakaz kotów w centrum miasta,FAKE
Firma technologiczna wprowadza darmowy router domowy dla każdego gospodarstwa,REAL
Mikrochip w szczepionkach umożliwia rządowi śledzenie obywateli,FAKE
Uniwersytet opublikował przełomową metodę leczenia chorób serca,REAL
Sieć fake newsów tworzyła fałszywe profile celebrytów,FAKE
Minister zdrowia potwierdza wzrost finansowania służby zdrowia,REAL
Popularna herbata rzekomo leczy raka — brak dowodów,FAKE
Nowa linia pociągów skróci czas podróży między miastami o połowę,REAL
Ktoś twierdzi, że księżyc to hologram — brak wiarygodnych źródeł,FAKE
Startup osiąga zysk pierwszego dnia po uruchomieniu produktu,REAL
W internecie krąży zdjęcie potwierdzające, że ziemia jest płaska,FAKE
Miejscowe muzeum odkryło zabytki sprzed 3000 lat,REAL
Boty na Twitterze tworzą kampanię dezinformacyjną,FAKE
Lokalna szkoła wprowadza program programowania od pierwszej klasy,REAL
Książka dietetyczna obiecuje utratę 10 kg w tydzień bez wysiłku,FAKE
